Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Refined Planning Time - zooming,Refined Planning Time - non_zooming,Refined Planning Time - Ratio,Abstract Planning Time - zooming,Abstract Planning Time - non_zooming,Abstract Planning Time - Ratio,Diagnosing - zooming,Diagnosing - non_zooming,Diagnosing - Ratio,Inferring -zooming, Inferring - non_zooming,Inferring - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
149,7,102.12,,,30.84,,,4.48,,,2.52,,,1.76,,,1,,,3,,,15,,,43,,,C,
150,7,76.33,,,25.64,,,3.39,,,1.97,,,1.16,,,1,,,2,,,11,,,31,,,C,
151,7,118.52,,,31.89,,,6.74,,,3.22,,,2.33,,,1,,,4,,,17,,,51,,,C,
152,7,100.96,,,12.14,,,12.30,,,4.96,,,3.37,,,1,,,7,,,9,,,47,,,C,
153,7,47.81,,,5.98,,,6.78,,,3.16,,,1.81,,,1,,,4,,,5,,,21,,,C,
154,7,78.80,,,13.63,,,6.82,,,3.01,,,1.87,,,1,,,4,,,9,,,37,,,C,
155,7,100.49,,,23.27,,,6.78,,,3.07,,,2.22,,,1,,,4,,,13,,,45,,,C,
156,7,149.74,,,45.36,,,10.56,,,4.35,,,3.36,,,1,,,6,,,19,,,59,,,C,
157,7,54.16,,,12.65,,,4.68,,,2.54,,,1.63,,,1,,,3,,,5,,,23,,,C,
158,7,128.53,,,47.97,,,7.03,,,3.27,,,2.18,,,1,,,4,,,17,,,47,,,C,
159,7,68.91,,,14.71,,,3.33,,,2.00,,,1.01,,,1,,,2,,,14,,,33,,,C,
160,7,115.71,,,20.77,,,12.45,,,5.08,,,3.41,,,1,,,7,,,10,,,51,,,C,
161,7,161.54,,,57.79,,,6.80,,,3.11,,,2.37,,,1,,,4,,,18,,,63,,,C,
162,7,146.57,,,42.28,,,10.48,,,4.41,,,3.37,,,1,,,6,,,14,,,59,,,C,
163,7,157.29,,,53.97,,,7.06,,,3.19,,,2.37,,,1,,,4,,,16,,,63,,,C,
164,7,47.95,,,9.52,,,4.74,,,2.53,,,1.65,,,1,,,3,,,5,,,21,,,C,
165,7,69.06,,,9.64,,,8.54,,,3.76,,,2.32,,,1,,,5,,,5,,,31,,,C,
166,7,74.26,,,20.96,,,4.83,,,2.53,,,1.65,,,1,,,3,,,9,,,31,,,C,
167,7,67.97,,,14.69,,,4.59,,,2.52,,,1.71,,,1,,,3,,,9,,,31,,,C,
168,7,146.58,,,35.09,,,12.47,,,5.02,,,3.91,,,1,,,7,,,13,,,61,,,C,
169,7,97.02,,,13.25,,,10.41,,,4.29,,,2.96,,,1,,,6,,,9,,,45,,,C,
170,7,111.56,,,19.57,,,8.64,,,3.83,,,2.47,,,1,,,5,,,12,,,53,,,C,
171,7,117.27,,,24.83,,,8.70,,,3.77,,,2.80,,,1,,,5,,,14,,,53,,,C,
172,7,120.49,,,39.88,,,6.74,,,3.09,,,2.33,,,1,,,4,,,11,,,47,,,C,
173,7,82.83,,,26.56,,,4.70,,,2.48,,,1.65,,,1,,,3,,,9,,,33,,,C,
174,7,147.71,,,35.17,,,10.53,,,4.43,,,3.50,,,1,,,6,,,13,,,65,,,C,
175,7,87.90,,,23.45,,,4.63,,,2.52,,,1.72,,,1,,,3,,,10,,,39,,,C,
176,7,132.24,,,37.86,,,8.74,,,3.75,,,2.85,,,1,,,5,,,15,,,55,,,C,
177,7,139.18,,,41.39,,,8.56,,,3.68,,,2.90,,,1,,,5,,,19,,,57,,,C,
178,7,159.60,,,42.87,,,12.68,,,5.06,,,4.00,,,1,,,7,,,13,,,65,,,C,
179,7,124.91,,,35.62,,,6.64,,,3.17,,,2.30,,,1,,,4,,,14,,,53,,,C,
180,7,45.01,,,6.24,,,4.52,,,2.50,,,1.60,,,1,,,3,,,5,,,21,,,C,
181,7,153.43,,,48.97,,,6.80,,,2.99,,,2.45,,,1,,,4,,,18,,,63,,,C,
182,7,131.53,,,23.43,,,12.62,,,5.03,,,3.91,,,1,,,7,,,12,,,59,,,C,
183,7,55.52,,,11.64,,,4.55,,,2.55,,,1.65,,,1,,,3,,,8,,,25,,,C,
184,7,66.04,,,12.00,,,6.80,,,3.12,,,2.17,,,1,,,4,,,7,,,29,,,C,
185,7,81.98,,,17.26,,,4.60,,,2.52,,,1.59,,,1,,,3,,,10,,,39,,,C,
186,7,150.78,,,43.14,,,12.25,,,5.06,,,4.02,,,1,,,7,,,11,,,59,,,C,
187,7,106.80,,,32.88,,,4.87,,,2.70,,,1.92,,,1,,,3,,,13,,,45,,,C,
188,7,44.84,,,8.86,,,3.48,,,2.10,,,0.98,,,1,,,2,,,10,,,21,,,C,
189,7,123.07,,,25.69,,,8.64,,,3.73,,,2.48,,,1,,,5,,,18,,,57,,,C,
190,7,69.20,,,9.63,,,6.84,,,3.21,,,2.00,,,1,,,4,,,7,,,33,,,C,
191,7,121.05,,,23.08,,,8.71,,,3.72,,,2.56,,,1,,,5,,,16,,,57,,,C,
192,7,167.80,,,66.37,,,8.56,,,3.83,,,2.89,,,1,,,5,,,16,,,57,,,C,
193,7,192.21,,,46.05,,,14.30,,,5.72,,,4.59,,,1,,,8,,,16,,,83,,,C,
194,7,41.84,,,8.47,,,3.40,,,1.99,,,1.09,,,1,,,2,,,7,,,19,,,C,
195,7,122.26,,,38.99,,,8.65,,,3.88,,,2.73,,,1,,,5,,,14,,,47,,,C,
196,7,70.45,,,14.30,,,4.52,,,2.52,,,1.49,,,1,,,3,,,11,,,33,,,C,
197,7,33.32,,,4.09,,,4.55,,,2.55,,,1.52,,,1,,,3,,,4,,,15,,,C,
198,7,79.44,,,15.93,,,8.66,,,3.72,,,2.59,,,1,,,5,,,5,,,33,,,C,
199,7,93.10,,,12.68,,,10.38,,,4.41,,,3.40,,,1,,,6,,,7,,,43,,,C,
200,7,127.12,,,25.79,,,10.39,,,4.45,,,3.49,,,1,,,6,,,13,,,57,,,C,
