Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Ratio Run Time,Planning Time - zooming,Planning Time non_zooming,Ratio Planning time,Inferring Time - zooming,# Abstract Plans - zooming,# Refined Plans - zooming,# Abstract Actions - zooming,# Refined Actions - zooming,Complete Run - zooming,Inferring Time - non_zooming,# Abstract Plans non_zooming,# Refined Plans non_zooming,# Abstract Actions non_zooming,# Refined Actions non_zooming,Complete Run - non_zooming
65,2,14.45,17.73,1.2269896194,7.43,10.6,1.4266487214,0.54,1,4,4,17,C,0.76,1,4,4,17,C
66,2,9,11.87,1.3188888889,4.85,7.36,1.5175257732,0.37,1,4,2,20,C,0.57,1,4,2,20,C
67,2,14.57,18.87,1.2951269732,7.63,11.11,1.4560943644,0.49,1,5,4,21,C,0.65,1,5,4,21,C
68,2,6.27,8.31,1.3253588517,3.97,5.5,1.3853904282,0.34,1,2,2,5,C,0.55,1,2,2,5,C
69,2,11.22,15.22,1.3565062389,5.66,9.22,1.628975265,0.58,1,4,3,17,C,0.69,1,4,3,17,C
70,2,9.02,12.22,1.354767184,5.16,7.7,1.492248062,0.37,1,3,3,9,C,0.62,1,3,3,9,C
71,2,14.87,20.21,1.3591123067,7.53,11.87,1.5763612218,0.55,1,5,4,23,C,0.69,1,5,4,23,C
72,2,10.39,13.01,1.2521655438,5.2,7.24,1.3923076923,0.39,1,3,3,15,C,0.54,1,3,3,15,C
73,2,10.13,13.29,1.3119447187,5.59,8.09,1.4472271914,0.47,1,4,3,13,C,0.7,1,4,3,13,C
74,2,9.94,12.64,1.2716297787,5.34,7.55,1.4138576779,0.37,1,3,3,11,C,0.52,1,3,3,11,C
75,2,15.59,21.62,1.3867864015,8.12,13.4,1.6502463054,0.44,1,6,4,28,C,0.6,1,6,4,28,C
76,2,9.17,12.12,1.3217011996,4.97,7.5,1.509054326,0.42,1,4,2,20,C,0.58,1,4,2,20,C
77,2,9.97,12.69,1.2728184554,5.13,7.35,1.432748538,0.38,1,3,3,13,C,0.56,1,3,3,13,C
