Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,,Planning Time - zooming,Planning Time non_zooming,,Inferring Time - zooming,# Abstract Plans - zooming,# Refined Plans - zooming,# Abstract Actions - zooming,# Refined Actions - zooming,Complete Run - zooming,Inferring Time - non_zooming,# Abstract Plans non_zooming,# Refined Plans non_zooming,# Abstract Actions non_zooming,# Refined Actions non_zooming,Complete Run - non_zooming
18,1,9.55,9.61,1.0062827225,5.39,5.43,1.0074211503,0.43,1,4,3,15,C,0.4,1,4,3,15,C
19,1,6.16,6.43,1.0438311688,3.76,4.06,1.079787234,0.35,1,2,2,7,C,0.35,1,2,2,7,C
20,1,8.21,8.42,1.0255785627,4.86,5.11,1.0514403292,0.35,1,3,3,9,C,0.33,1,3,3,9,C
21,1,6.9,6.95,1.0072463768,4.11,4.22,1.0267639903,0.37,1,3,2,11,C,0.36,1,3,2,11,C
22,1,9.03,9.23,1.0221483942,5.22,5.51,1.0555555556,0.38,1,4,3,13,C,0.37,1,4,3,13,C
23,1,6.86,7.14,1.0408163265,4.14,4.4,1.0628019324,0.37,1,3,2,11,C,0.37,1,3,2,11,C
24,1,6.18,6.37,1.0307443366,3.83,4,1.044386423,0.32,1,2,2,7,C,0.36,1,2,2,7,C
25,1,9.29,9.5,1.0226049516,5.16,5.45,1.0562015504,0.42,1,4,3,15,C,0.36,1,4,3,15,C
26,1,7.88,8.05,1.0215736041,4.85,5.06,1.0432989691,0.36,1,3,3,7,C,0.34,1,3,3,7,C
27,1,9.33,9.5,1.0182207931,5.23,5.48,1.0478011472,0.38,1,4,3,15,C,0.38,1,4,3,15,C
28,1,7.9,8.08,1.0227848101,4.94,5.11,1.0344129555,0.37,1,3,3,7,C,0.33,1,3,3,,C
29,1,8.85,9.31,1.0519774011,5.11,5.58,1.0919765166,0.38,1,4,3,13,C,0.36,1,4,3,13,C
30,1,6.87,6.94,1.0101892285,4.14,4.25,1.0265700483,0.37,1,3,2,11,C,0.36,1,3,2,11,C
