Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Planning Time - zooming,Planning Time - non_zooming,Planning Time - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming,[Planning-time/num refined plans] – zooming,[Planning-time/num refined plans] – non zooming
164,1,5.38,5.69,1.06,6.36,6.63,1.04,1,1,1,2,2,1,2,2,1,5,5,1,C,C,3.18,3.315
165,1,7.51,7.75,1.03,8.44,8.81,1.04,1,1,1,3,3,1,3,3,1,7,7,1,C,C,2.8133333333,2.9366666667
166,1,6.22,6.42,1.03,6.86,7.09,1.03,1,1,1,2,2,1,3,3,1,7,7,1,C,C,2.2866666667,2.3633333333
167,1,5.54,5.6,1.01,6.59,6.56,1,1,1,1,2,2,1,2,2,1,5,5,1,C,C,3.295,3.28
168,1,5.44,5.67,1.04,6.41,6.58,1.03,1,1,1,2,2,1,2,2,1,5,5,1,C,C,3.205,3.29
169,1,6.29,6.33,1.01,7.05,6.95,0.99,1,1,1,2,2,1,3,3,1,7,7,1,C,C,2.35,2.3166666667
170,1,6.53,6.66,1.02,6.83,6.96,1.02,1,1,1,2,2,1,3,3,1,9,9,1,C,C,2.2766666667,2.32
171,1,5.44,5.85,1.08,6.42,6.84,1.07,1,1,1,2,2,1,2,2,1,5,5,1,C,C,3.21,3.42
172,1,7.61,7.72,1.01,8.69,8.7,1,1,1,1,3,3,1,3,3,1,7,7,1,C,C,2.8966666667,2.9
173,1,8.54,8.74,1.02,8.81,9.17,1.04,1,1,1,3,3,1,4,4,1,11,11,1,C,C,2.2025,2.2925
174,1,8.48,8.7,1.03,8.84,9.02,1.02,1,1,1,3,3,1,4,4,1,11,11,1,C,C,2.21,2.255
175,1,5.98,5.97,1,6.72,6.64,0.99,1,1,1,2,2,1,2,2,1,7,7,1,C,C,3.36,3.32
176,1,8.96,9.16,1.02,8.96,9.1,1.02,1,1,1,3,3,1,4,4,1,13,13,1,C,C,2.24,2.275
177,1,7.56,7.72,1.02,8.59,8.65,1.01,1,1,1,3,3,1,3,3,1,7,7,1,C,C,2.8633333333,2.8833333333
178,1,7.85,8.13,1.04,8.59,8.78,1.02,1,1,1,3,3,1,3,3,1,9,9,1,C,C,2.8633333333,2.9266666667
179,1,8.88,9.27,1.04,8.79,9.29,1.06,1,1,1,3,3,1,4,4,1,13,13,1,C,C,2.1975,2.3225
180,1,8.49,8.73,1.03,8.82,8.99,1.02,1,1,1,3,3,1,4,4,1,11,11,1,C,C,2.205,2.2475
181,1,8.59,8.86,1.03,8.99,9.16,1.02,1,1,1,3,3,1,4,4,1,11,11,1,C,C,2.2475,2.29
182,1,6.08,6.39,1.05,6.77,6.98,1.03,1,1,1,2,2,1,3,3,1,7,7,1,C,C,2.2566666667,2.3266666667
183,1,5.78,5.94,1.03,6.36,6.52,1.03,1,1,1,2,2,1,2,2,1,7,7,1,C,C,3.18,3.26
184,1,8.61,8.86,1.03,8.98,9.13,1.02,1,1,1,3,3,1,4,4,1,11,11,1,C,C,2.245,2.2825
185,1,8.73,8.75,1,9.06,9.13,1.01,1,1,1,3,3,1,4,4,1,11,11,1,C,C,2.265,2.2825
186,1,7.92,8.01,1.01,8.56,8.66,1.01,1,1,1,3,3,1,3,3,1,9,9,1,C,C,2.8533333333,2.8866666667
187,1,5.75,5.92,1.03,6.34,6.56,1.03,1,1,1,2,2,1,2,2,1,7,7,1,C,C,3.17,3.28
188,1,8.96,9.22,1.03,8.94,9.19,1.03,1,1,1,3,3,1,4,4,1,13,13,1,C,C,2.235,2.2975
189,1,7.74,7.99,1.03,8.36,8.65,1.03,1,1,1,3,3,1,3,3,1,9,9,1,C,C,2.7866666667,2.8833333333
190,1,8.99,9.15,1.02,8.95,9.12,1.02,1,1,1,3,3,1,4,4,1,13,13,1,C,C,2.2375,2.28
191,1,5.41,5.7,1.05,6.37,6.75,1.06,1,1,1,2,2,1,2,2,1,5,5,1,C,C,3.185,3.375
192,1,7.74,8.05,1.04,8.39,8.73,1.04,1,1,1,3,3,1,3,3,1,9,9,1,C,C,2.7966666667,2.91
193,1,5.5,5.63,1.02,6.48,6.59,1.02,1,1,1,2,2,1,2,2,1,5,5,1,C,C,3.24,3.295
194,1,6.14,6.33,1.03,6.68,6.97,1.04,1,1,1,2,2,1,3,3,1,7,7,1,C,C,2.2266666667,2.3233333333
195,1,7.85,8.05,1.03,8.58,8.66,1.01,1,1,1,3,3,1,3,3,1,9,9,1,C,C,2.86,2.8866666667
196,1,8.6,8.87,1.03,8.98,9.27,1.03,1,1,1,3,3,1,4,4,1,11,11,1,C,C,2.245,2.3175
197,1,8.94,9.15,1.02,8.93,9.15,1.02,1,1,1,3,3,1,4,4,1,13,13,1,C,C,2.2325,2.2875
198,1,6.48,6.85,1.06,6.79,7.15,1.05,1,1,1,2,2,1,3,3,1,9,9,1,C,C,2.2633333333,2.3833333333
199,1,9.02,9.24,1.02,9.13,9.24,1.01,1,1,1,3,3,1,4,4,1,13,13,1,C,C,2.2825,2.31
200,1,8.81,9.21,1.05,8.86,9.1,1.03,1,1,1,3,3,1,4,4,1,13,13,1,C,C,2.215,2.275
