Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Planning Time - zooming,Planning Time - non_zooming,Planning Time - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming,,
190,3,36.96,97.16,2.63,25.56,91.05,3.56,1,1,1,7,4,0.57,9,7,0.78,53,31,0.58,C,A,2.84,13.0071428571
191,3,21.09,90.03,4.27,15.42,85.82,5.56,1,1,1,4,3,0.75,6,6,1,29,23,0.79,C,A,2.57,14.3033333333
192,3,23.36,80.53,3.45,17.55,78.01,4.45,1,1,1,5,3,0.6,7,6,0.86,31,17,0.55,C,A,2.5071428571,13.0016666667
193,3,6.54,503.26,77,7.08,504.06,71.21,1,1,1,2,1,0.5,2,2,1,5,3,0.6,C,A,3.54,252.03
194,3,9.27,129.01,13.91,8.12,128.74,15.86,1,1,1,2,1,0.5,4,4,1,11,7,0.64,C,A,2.03,32.185
195,3,11.9,132.88,11.17,9.93,132.83,13.37,1,1,1,3,2,0.67,3,3,1,15,7,0.47,C,A,3.31,44.2766666667
196,3,27.82,136.17,4.89,20.68,133.09,6.44,1,1,1,6,3,0.5,6,4,0.67,37,19,0.51,C,A,3.4466666667,33.2725
197,3,17.78,76.44,4.3,13.99,77.28,5.52,1,1,1,4,1,0.25,4,2,0.5,23,3,0.13,C,A,3.4975,38.64
198,3,16.33,63.99,3.92,12.05,61.74,5.12,1,1,1,3,2,0.67,6,6,1,23,15,0.65,C,A,2.0083333333,10.29
199,3,7.74,114.74,14.83,7.18,115.34,16.06,1,1,1,2,1,0.5,2,2,1,9,3,0.33,C,A,3.59,57.67
200,3,9.93,93.82,9.45,8.16,94.81,11.61,1,1,1,2,0,0,4,2,0.5,13,0,0,C,A,2.04,47.405
