Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Planning Time - zooming,Planning Time - non_zooming,Planning Time - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
126,4,21.33,29.94,1.40,14.43,29.93,2.07,1,1,1.00,3,0,0.00,3,1,0.33,13,0,0.00,C,A
127,4,22.63,162.60,7.18,13.75,162.59,11.83,1,1,1.00,2,0,0.00,6,1,0.17,17,0,0.00,C,A
128,4,46.45,301.01,6.48,28.17,3.35,0.12,1,1,1.00,6,0,0.00,10,0,0.00,33,0,0.00,C,T
129,4,36.45,155.88,4.28,21.74,155.87,7.17,1,1,1.00,4,0,0.00,9,1,0.11,27,0,0.00,C,A
130,4,55.11,126.22,2.29,31.09,126.21,4.06,1,1,1.00,7,0,0.00,10,1,0.10,45,0,0.00,C,A
131,4,50.66,105.35,2.08,28.26,105.34,3.73,1,1,1.00,5,0,0.00,9,0,0.00,41,0,0.00,C,A
132,4,28.55,301.01,10.54,19.71,2.62,0.13,1,1,1.00,4,0,0.00,8,0,0.00,17,0,0.00,C,T
133,4,37.35,104.84,2.81,21.51,104.83,4.87,1,1,1.00,5,0,0.00,5,1,0.20,29,0,0.00,C,A
134,4,44.32,301.01,6.79,28.63,3.94,0.14,1,1,1.00,7,0,0.00,7,0,0.00,29,0,0.00,C,T
135,4,15.63,301.01,19.26,12.08,1.82,0.15,1,1,1.00,3,0,0.00,3,0,0.00,7,0,0.00,C,T
136,4,42.42,301.01,7.10,26.22,3.36,0.13,1,1,1.00,6,0,0.00,8,0,0.00,29,0,0.00,C,T
137,4,34.05,301.01,8.84,21.85,3.19,0.15,1,1,1.00,5,0,0.00,7,0,0.00,23,0,0.00,C,T
138,4,51.67,34.10,0.66,29.85,34.09,1.14,1,1,1.00,6,0,0.00,11,1,0.09,41,0,0.00,C,A
139,4,57.97,34.00,0.59,32.65,33.98,1.04,1,1,1.00,7,0,0.00,11,1,0.09,47,0,0.00,C,A
140,4,57.89,31.61,0.55,34.22,31.60,0.92,1,1,1.00,6,0,0.00,10,1,0.10,43,0,0.00,C,A
141,4,31.01,108.08,3.49,18.66,108.07,5.79,1,1,1.00,4,0,0.00,6,1,0.17,23,0,0.00,C,A
142,4,18.39,103.72,5.64,10.79,103.71,9.61,1,1,1.00,2,0,0.00,2,0,0.00,14,0,0.00,C,A
143,4,68.75,33.98,0.49,38.24,33.97,0.89,1,1,1.00,7,0,0.00,12,1,0.08,55,0,0.00,C,A
144,4,49.28,199.29,4.04,28.96,199.28,6.88,1,1,1.00,7,0,0.00,8,1,0.12,37,0,0.00,C,A
145,4,8.59,31.93,3.72,5.27,31.92,6.06,1,1,1.00,1,0,0.00,1,1,1.00,6,0,0.00,C,A
146,4,45.92,73.56,1.60,26.78,73.55,2.75,1,1,1.00,7,0,0.00,7,1,0.14,33,0,0.00,C,A
147,4,22.04,29.43,1.34,13.00,29.42,2.26,1,1,1.00,3,0,0.00,4,1,0.25,17,0,0.00,C,A
148,4,31.14,60.92,1.96,17.62,60.91,3.46,1,1,1.00,4,0,0.00,6,1,0.17,25,0,0.00,C,A
149,4,33.74,90.76,2.69,20.34,90.75,4.46,1,1,1.00,5,0,0.00,6,1,0.17,25,0,0.00,C,A
150,4,71.09,301.01,4.23,40.00,4.48,0.11,1,1,1.00,9,0,0.00,12,0,0.00,55,0,0.00,C,T
151,4,24.13,31.05,1.29,15.84,31.04,1.96,1,1,1.00,4,0,0.00,4,1,0.25,15,0,0.00,C,A
152,4,58.95,33.75,0.57,33.38,33.74,1.01,1,1,1.00,7,0,0.00,10,1,0.10,47,0,0.00,C,A
153,4,32.69,31.01,0.95,20.15,30.99,1.54,1,1,1.00,4,0,0.00,6,1,0.17,23,0,0.00,C,A
154,4,58.99,34.39,0.58,33.01,34.38,1.04,1,1,1.00,7,0,0.00,11,1,0.09,47,0,0.00,C,A
155,4,25.50,46.65,1.83,14.76,46.64,3.16,1,1,1.00,3,0,0.00,6,1,0.17,21,0,0.00,C,A
156,4,30.25,32.98,1.09,18.11,32.97,1.82,1,1,1.00,4,0,0.00,6,1,0.17,23,0,0.00,C,A
157,4,53.28,33.54,0.63,30.62,33.53,1.09,1,1,1.00,6,0,0.00,11,1,0.09,41,0,0.00,C,A
158,4,34.56,104.83,3.03,19.95,104.82,5.25,1,1,1.00,4,0,0.00,5,0,0.00,27,0,0.00,C,A
159,4,25.75,30.03,1.17,15.67,30.02,1.92,1,1,1.00,3,0,0.00,7,1,0.14,19,0,0.00,C,A
160,4,31.60,164.26,5.20,20.32,164.25,8.08,1,1,1.00,5,0,0.00,5,1,0.20,21,0,0.00,C,A
161,4,27.23,208.98,7.68,17.28,208.96,12.10,1,1,1.00,4,0,0.00,4,1,0.25,19,0,0.00,C,A
162,4,56.86,34.10,0.60,31.82,34.09,1.07,1,1,1.00,6,0,0.00,10,1,0.10,45,0,0.00,C,A
163,4,36.34,196.53,5.41,23.15,196.52,8.49,1,1,1.00,4,0,0.00,7,1,0.14,25,0,0.00,C,A
164,4,32.02,32.79,1.02,18.75,32.78,1.75,1,1,1.00,4,0,0.00,5,1,0.20,25,0,0.00,C,A
165,4,46.96,34.15,0.73,28.06,34.13,1.22,1,1,1.00,7,0,0.00,7,1,0.14,35,0,0.00,C,A
166,4,26.83,104.08,3.88,15.65,104.07,6.65,1,1,1.00,3,0,0.00,4,0,0.00,21,0,0.00,C,A
